年,PPI
1996,0.27
1997,-0.3458333333333334
1998,-4.278333333333333
1999,-2.9025
2000,2.6108333333333333
2001,-1.2808333333333335
2002,-2.2491666666666665
2003,2.35
2004,6.066666666666666
2005,4.921666666666667
2006,2.9691666666666667
2007,3.1391666666666667
2008,6.8758333333333335
2009,-5.391666666666667
2010,5.540833333333333
2011,6.049166666666667
2012,-1.7116666666666667
2013,-1.9083333333333332
2014,-1.8853916666666668
2015,-5.217333333333333
2016,-1.3083333333333333
2017,6.333333333333333
2018,3.5416666666666665
2019,-0.30833333333333335
2020,-1.8416666666666668
2021,8.075000000000001
2022,7.271428571428571
nan,
数据来源,
