年,沪深300,南华商品指数,中债-综合财富(3-5年)指数,货币基金
1990,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0
2002,1279.4240084388184,0.0,102.74008185654007,0.0
2003,1197.4643278008298,0.0,104.9633182572614,0.0
2004,1171.1051687242798,599.75888436214,105.35791481481482,953.1542452674897
2005,924.2321280991735,1076.5050053719008,112.25319049586776,990.1711607438017
2006,1318.1348713692946,1262.3294692946058,117.15881950207469,1009.6435460580914
2007,4055.1425041322314,1285.9590181818182,117.83860123966943,1033.3393954545454
2008,3136.5618414634146,1267.4757239837397,122.08393902439025,1070.181030487805
2009,2966.4378524590165,1159.9470360655737,131.20172172131146,1098.4673233606557
2010,3082.9669380165287,1385.2404198347108,135.44869752066114,1115.215558677686
2011,2928.9260368852456,1490.6493930327867,137.00824590163936,1145.156106147541
2012,2424.779534979424,1349.4963448559672,145.33133127572017,1191.2998732510289
2013,2442.0868865546217,1262.696512605042,149.24517016806723,1235.2463466386555
2014,2372.9513510204083,1085.5925714285713,154.97038448979592,1290.5423265306122
2015,3929.914424180328,930.5954823770492,168.36573565573772,1344.651680327869
2016,3227.7486348360653,1065.8224709016395,179.2214819672131,1384.1666393442622
2017,3673.5476774590165,1354.5798770491804,179.22527827868853,1427.7723389344262
2018,3605.8095728395065,1390.3194004115228,187.53987242798354,1485.191932510288
2019,3753.473442622951,1457.3751049180328,200.0065512295082,1530.9949
2020,4383.111950205762,1448.9160905349793,209.72078724279834,1567.1462691358026
2021,5085.664720576132,1882.5863374485596,216.29516707818928,1601.75025308642
2022,4326.510149572649,2336.3674333333333,223.9924905982906,1627.9911435897436
